id,cluster
W:\Users\Goldian\Desktop\data\images\images\\012IhTSMDC8Pp7NtwUJVlOao3HrcRk4Ad9xG5XFE.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\018lTBUgtZ9pC4FVdbvOPwRNYG5Q2nkrADSuyhjJ.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\019iQvjmJUFVLDSIdgz3thaGPR6oc5fETyCnAxqN.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\019vfB7ykc2dOVYGTAMmDZuNbiIg8exsWjX6SPQo.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01BaP8ewyHRTWGUKYOZmELxQuzc3NCMk7V9ghf5n.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01D5NH3VjIbnWA4FJKShaQGkcBxvs9LgYXz7RutM.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01euwZI2yU8ABpVsE4dMHcxKXCLQjt69Y7GS5Fnz.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01ivrMC8QzWRP6mBbGlfjs2HnyqVk4awg3FO7ATx.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01jposX24qglJxGfcRLVa87D5N396IrmvHUhBFCY.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01lfWKaI6gOXJH2YidSMD3jkmzhxqr8GbLpnV7us.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01mid86nolAXCLr4TvxkJEMQbpBaOzY2jIUSVGK5.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01mpBvWLd4JfhCtbz6VaiMqTc9FZew3Gg7QPrRSI.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01OtcTNEYl4Di8Jr3pwGKZFvadIMHV5unQyzoxUj.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01t6HquZ29YmDCLkxhNFbfAziTgUPRWGMXeyrjBO.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01tTgmKN9D7LjYwSxhlf5pWJdk6yqVn4IC2EvFMG.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01UwPAykFGDHmbYn6MRuQazVEOWv9gl8KesTh7jC.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01VtQbdX8x7hMDaN2AWsOrEepCKyuvUi45TF6nfL.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\01ZxhJHU6MoBpdTamnt2rGL4ewWPfyNXRzSkKiqC.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\02hgk9TEP5li4QrvOGSUXz1KNyCp7cfwZs6AjLWF.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\02hzLlqTZnwjxo3uDYMUPE4gbOaSQJVvNcKk18rp.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\02lvjVI3z6MbLZX4xJ9W71isAumHPtOKBDYcTdqQ.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\02UgGDpv7ckRVBfYznxtC4NXdmq96IW5HAh3K8ew.jpg,35
W:\Users\Goldian\Desktop\data\images\images\\02VQSITJRqCtFf4UpkLYW1lwHGsdMKnXig5vOzca.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\02WtYaZHn6sfipOzuvRJXgjUy1MBN8hDcbkArxwm.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\02ZNG9BUOqiwJhXI4vurlPHR8VaseKnpYdbW7Cxz.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\039oh6yUH5W8tbXJaBjrzRsxTAOlC4YPZgq7Lkfu.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03b4Bht2vVE8WRUD6eJ7uwg5xKpjqrSLz1nXaNZl.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03b8LYVsuXgeyoShqITkMWF4PjvUKJOrwldnfQtA.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03Bjt7zgaSPDuiK8HGyENXmRbwL1se4oQVZ6cWJ5.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03eFVpHY7QmdtCLujTxnqro15AWOaP9U2ciJMlvw.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03hcFDvwSltqrTgbHan41kRx79ZAKXfp28B6VjEs.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03kYNxosnyK8OjWMpDVrtGJC1a647EZHFS9ezl2X.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03OtFqxZhamk2TcJ1gnyGirbs9WlK4XPEHLuBAjQ.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03sw5ev1ZmutB42LhVJHRonIlGbpgExzXc8rYQOj.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\03YcMVUyrA2u1GpPmWdwl4jNIkoqDLi6SCH7BRTn.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\045k79DyqOEcKIsi8xFXJLofvdmMgUHTS6tPheZ1.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\046qAvtJzPkgWruyC2bwnaXKMpGomRBd1OH5h9Ti.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\048QkVWoCwfiFJ73gjGRd6lBmzTXtvIHLD5qSrOM.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04aANp36kgrzXWu2DfOoBd1wQCInhlq9PibGJtEM.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04HBIbZWTAuGvtManP2x5eYrfmSdFQgsqUz1Vlo7.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04KMdOIinqChDZYkS2r6EbsX1fARVvatueGLBJ3g.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04LNRoPnreTl2g59j8DshmMUJVWOuci7ExGkbSKQ.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04Mwk58AIosjdmDvyCFGWpK3VnifBUerlaTRzbPY.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04sM3LelKhpH5avxuB29ONJqGZPQoR7kicmw8zCr.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04UMtPajX8T51SNCzyfmJgrHBwZuvYIpxRiElOKD.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\04zbdAqrPBVaWT7C1tx9GJXLmYgO5Ff6NijyUKIv.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\056LQFcxqRifVwJYyEBahXdNHTjUukpsSbmM7KPW.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\059Xo6iMktHObGqEev7ZKfwVLQcUrPWTAdRy1Dpg.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05c9wAU17V4MNTnDsOPmaqi6vHe8htpSrRbJQBxk.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05dUwcqlruyIJPAQvYB92m6sLXz1onafNtkj74R8.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05EUQa7rgtnzWyAYOwVdkK6G3IXDcpPs1uTmZjqM.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05KPMLch1nomJQfN78u6VZs4ryAqd2UTw9vgxpOB.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05oX73ExZSfeRP189cdKpjDT6zQVunligNqCmOJ4.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05SnA9EqstdpJmQYg2W3yDceo1vfVNajz4MBXTUx.jpg,42
W:\Users\Goldian\Desktop\data\images\images\\05u4LHrbQSZcsBRdWFDAqIJ63jfT1xwvVonpgaie.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05UrdISWGsTlx8tY3bX6n1ycoEqeh7wRkvMHaJCN.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05VEpNsvOxGKcLyk1ignPhMqRmXY47rU3FudJ8tB.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05XLiFnSw7EMrIRHmzsa3O8TpqDZxbd2BQoV4JjW.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\05zlEhvVteN6qMBAnYoPaH2XxK3kU4CIRisSLD7j.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\065hTrQmfJnzU3uokxeSHZRL7sbOANadYtMqwDPC.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\0675natcBl8AFy2fVRKuOTixE13qMpJDGSUbsNIe.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\068uCWKDH9AZjm5bqGXI2fYQdJEVpkgzOcaUel7M.jpg,25
W:\Users\Goldian\Desktop\data\images\images\\068WiT24PYUkASm7lpRgGnvFXrBJsDj9qLQuOCeE.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\06D18EbpaJlZsUVgLoYBRxW2mNAdwcQXjy3C5r7M.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\06e9GZpX5nHKFlyPtqoBdjO1xuh7Iga8WQ4VE2SL.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\06Gcua23FwAPMrZlBWR451IJm7osKqfYjQzHgdhD.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\06hJTSKrZvxImkWqFeXDjGR53HwfOg7BUlPApiY9.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\06ihqN7g45vFzaVmIRf9ornlQxd2wcbLZUyEuCJS.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\06KVraTJOkzMZhDBAiqfvI4FcEdYR59GQglupxow.jpg,-1
W:\Users\Goldian\Desktop\data\images\images\\06nC3zeGUOBLH9oJ514X8QWiqcFIkbfVRutwDZYE.jpg,-1
